episode,reward,steps
478.0,32.0,1462.0
479.0,60.0,1122.0
480.0,21.0,1662.0
481.0,3.0,1766.0
482.0,11.0,1627.0
483.0,26.0,1751.0
484.0,37.0,1433.0
485.0,19.0,1566.0
486.0,27.0,1397.0
487.0,30.0,1455.0
488.0,3.0,1762.0
489.0,17.0,1752.0
490.0,39.0,1240.0
491.0,37.0,1516.0
492.0,28.0,1635.0
493.0,37.0,1250.0
494.0,22.0,1607.0
495.0,30.0,1758.0
496.0,4.0,1772.0
497.0,32.0,1405.0
498.0,26.0,1390.0
499.0,7.0,1760.0
500.0,41.0,1278.0
501.0,53.0,1201.0
502.0,9.0,1785.0
503.0,18.0,1450.0
504.0,40.0,1238.0
505.0,20.0,1475.0
506.0,32.0,1410.0
507.0,0.0,1757.0
508.0,14.0,1626.0
509.0,22.0,1669.0
510.0,20.0,1669.0
511.0,31.0,1507.0
512.0,28.0,1523.0
513.0,31.0,1470.0
514.0,15.0,1769.0
515.0,35.0,1431.0
516.0,34.0,1363.0
517.0,35.0,1637.0
518.0,11.0,1630.0
519.0,13.0,1734.0
520.0,57.0,1203.0
521.0,36.0,1393.0
522.0,41.0,1249.0
523.0,5.0,1783.0
524.0,34.0,1340.0
525.0,38.0,1340.0
526.0,43.0,1287.0
527.0,41.0,1277.0
528.0,43.0,1280.0
529.0,24.0,1712.0
530.0,37.0,1383.0
531.0,15.0,1535.0
532.0,47.0,1227.0
533.0,11.0,1598.0
534.0,24.0,1601.0
535.0,46.0,1174.0
536.0,39.0,1235.0
537.0,36.0,1371.0
538.0,14.0,1608.0
539.0,27.0,1495.0
540.0,22.0,1603.0
541.0,25.0,1498.0
542.0,47.0,1233.0
543.0,0.0,1757.0
544.0,21.0,1664.0
545.0,45.0,1292.0
546.0,0.0,1766.0
547.0,21.0,1622.0
548.0,14.0,1641.0
549.0,27.0,1443.0
550.0,17.0,1633.0
551.0,5.0,1777.0
552.0,24.0,1645.0
553.0,23.0,1517.0
554.0,1.0,1781.0
555.0,32.0,1396.0
556.0,9.0,1764.0
557.0,10.0,1759.0
558.0,8.0,1716.0
559.0,22.0,1347.0
560.0,26.0,1417.0
561.0,17.0,1616.0
562.0,34.0,1465.0
563.0,14.0,1488.0
564.0,3.0,1764.0
565.0,40.0,1358.0
566.0,3.0,1784.0
567.0,34.0,1518.0
568.0,1.0,1763.0
569.0,30.0,1428.0
570.0,-8.0,1756.0
571.0,12.0,1772.0
572.0,-4.0,1774.0
573.0,23.0,1467.0
574.0,30.0,1369.0
575.0,37.0,1254.0
576.0,16.0,1531.0
577.0,31.0,1439.0
578.0,39.0,1354.0
579.0,22.0,1590.0
580.0,52.0,1154.0
581.0,11.0,1780.0
582.0,17.0,1705.0
583.0,23.0,1504.0
584.0,18.0,1627.0
585.0,41.0,1264.0
586.0,12.0,1585.0
587.0,51.0,1218.0
588.0,32.0,1448.0
589.0,34.0,1398.0
590.0,22.0,1423.0
591.0,8.0,1607.0
592.0,23.0,1664.0
593.0,2.0,1649.0
594.0,15.0,1570.0
595.0,29.0,1263.0
596.0,10.0,1634.0
597.0,11.0,1770.0
598.0,21.0,1679.0
599.0,-3.0,1775.0
600.0,6.0,1762.0
601.0,33.0,1549.0
602.0,27.0,1440.0
603.0,46.0,1124.0
604.0,42.0,1251.0
605.0,48.0,1175.0
606.0,18.0,1479.0
607.0,36.0,1272.0
608.0,48.0,1307.0
609.0,10.0,1775.0
610.0,13.0,1759.0
611.0,10.0,1755.0
612.0,33.0,1564.0
613.0,65.0,890.0
614.0,29.0,1587.0
615.0,37.0,1447.0
616.0,8.0,1757.0
617.0,37.0,1272.0
618.0,18.0,1576.0
619.0,5.0,1758.0
620.0,22.0,1756.0
621.0,24.0,1731.0
622.0,6.0,1761.0
623.0,40.0,1322.0
624.0,31.0,1761.0
625.0,31.0,1479.0
626.0,20.0,1557.0
627.0,26.0,1652.0
628.0,-2.0,1758.0
629.0,15.0,1701.0
630.0,44.0,1307.0
631.0,12.0,1776.0
632.0,34.0,1464.0
633.0,45.0,1257.0
634.0,12.0,1768.0
635.0,1.0,1641.0
636.0,10.0,1700.0
637.0,30.0,1595.0
638.0,-2.0,1783.0
639.0,10.0,1781.0
640.0,42.0,1295.0
641.0,25.0,1621.0
642.0,37.0,1321.0
643.0,32.0,1485.0
644.0,43.0,1336.0
645.0,55.0,1159.0
646.0,31.0,1489.0
647.0,10.0,1773.0
648.0,18.0,1700.0
649.0,34.0,1279.0
650.0,51.0,1159.0
651.0,18.0,1417.0
652.0,20.0,1643.0
653.0,46.0,1193.0
654.0,23.0,1672.0
655.0,34.0,1426.0
656.0,1.0,1782.0
657.0,51.0,1195.0
658.0,27.0,1478.0
659.0,-2.0,1773.0
660.0,23.0,1444.0
661.0,10.0,1764.0
662.0,32.0,1377.0
663.0,8.0,1756.0
664.0,46.0,1131.0
665.0,36.0,1485.0
666.0,20.0,1425.0
667.0,53.0,1194.0
668.0,29.0,1583.0
669.0,17.0,1476.0
670.0,59.0,1065.0
671.0,1.0,1772.0
672.0,22.0,1394.0
673.0,31.0,1476.0
674.0,24.0,1540.0
675.0,13.0,1593.0
676.0,24.0,1766.0
677.0,13.0,1551.0
678.0,38.0,1393.0
679.0,2.0,1775.0
680.0,28.0,1475.0
681.0,26.0,1549.0
682.0,3.0,1758.0
